commons_assertion_id,commons_image_id,commons_page_url,date_iso,date_precision,place,region,country,country_code,latitude,longitude,matched_formation_id,match_status,match_method,match_distance_km,candidate_count,overlay_readiness,provenance_note
commons_assertion_10ee188ffc5776cf,commons_img_17de8083657888ff,https://commons.wikimedia.org/wiki/File:Pica_v_poli.jpg,2008-06-05,day,,,Czechia,CZ,50.01957111,14.49581111,,no_defensible_existing_formation_match,,,0,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_3dc17443465fe425,commons_img_1c5001b6b98935bf,https://commons.wikimedia.org/wiki/File:Dentro_cerchio-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_ca4716854863,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_b5405a0b33667ce5,commons_img_1c5001b6b98935bf,https://commons.wikimedia.org/wiki/File:Dentro_cerchio-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_f8bf56ebce76,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_a08772816ec72c34,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_4f4202e2eb60,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_997cbca4a4c811b6,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_7b5b4cc166f9,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_ba716e495133e5c5,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_c17dfd94d450,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_767b65667d4d3e12,commons_img_1cbd27310a8f4eee,"https://commons.wikimedia.org/wiki/File:Downland,_Alton_Barnes_-_geograph.org.uk_-_844715.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3727,-1.847,cc_f023de496be2,ambiguous_place_and_year_candidate,place_and_year_candidate,65.583,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_77bd05064d2402a8,commons_img_1dfd99f84c449652,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-20.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.686525,8.72187222,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.093,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_7aaefd3383722f87,commons_img_35dd2f9193bef934,https://commons.wikimedia.org/wiki/File:Cerchio_grano-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_ca4716854863,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_18962a3c3932f560,commons_img_35dd2f9193bef934,https://commons.wikimedia.org/wiki/File:Cerchio_grano-Ancona.jpg,2007-05-23,day,Ancona,Marche,Italy,IT,,,cc_f8bf56ebce76,ambiguous_place_and_year_candidate,place_and_year_candidate,,2,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_b32e9bd83d8c1b89,commons_img_382ea9088fab5529,https://commons.wikimedia.org/wiki/File:Crop_Circle_below_Steep_Down._-_geograph.org.uk_-_176105.jpg,2003,year,Steep Down,West Sussex,United Kingdom,GB,50.8575,-0.341,,no_defensible_existing_formation_match,,,0,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_9f2e6bc24285959f,commons_img_3fbcd46897420ad6,https://commons.wikimedia.org/wiki/File:Alton_Barnes_crop_circle_c._1995-1.jpg,1995,year,Alton Barnes,Wiltshire,United Kingdom,GB,51.35859,-1.85411,cc_7b7bc9501f65,place_and_year_candidate,place_and_year_candidate,65.476,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_49ee7080c0dc3d12,commons_img_59ad520d1c270f8e,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-46-50.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68648056,8.72494167,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,1.867,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_8c247749c1ff88d8,commons_img_5f41071b079087fa,https://commons.wikimedia.org/wiki/File:Approaching_the_Crop_Circle_of_Diessenhofen_15.07.2008_16-43-46.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68062222,8.72709444,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,1.928,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_a18adc42b810e88c,commons_img_65c0a0397ed4fd9c,https://commons.wikimedia.org/wiki/File:Crop_circle_near_Avebury_Manor_-_geograph.org.uk_-_885306.jpg,2008-07-15,day,Avebury,Wiltshire,United Kingdom,GB,51.43049,-1.8559,cc_925f1d739197,exact_place_and_date,exact_place_and_date,1.709,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_7183b70f4f00d774,commons_img_6a7d80baad8bf6ed,https://commons.wikimedia.org/wiki/File:Crop_Circle_near_Chartley_Manor_Farm_-_geograph.org.uk_-_1442011.jpg,2006-08-16,day,Chartley Castle,Staffordshire,United Kingdom,GB,52.85512,-1.9758,cc_6c7f9d6a6385,place_and_year_candidate,place_and_year_candidate,,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_8f7e982cb748b71f,commons_img_6f9f5a5ba81f524a,https://commons.wikimedia.org/wiki/File:Alton_Barnes_crop_circle_c._1995-2.jpg,1995,year,Alton Barnes,Wiltshire,United Kingdom,GB,51.35859,-1.85411,cc_7b7bc9501f65,place_and_year_candidate,place_and_year_candidate,65.476,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_0927fd0ed68ea85b,commons_img_76e2c4d74439fb7d,https://commons.wikimedia.org/wiki/File:Lucy_Pringle_Aerial_Shot_of_Pi_Crop_Circle_-_panoramio.jpg,2008,year,,,United Kingdom,GB,51.488695,-1.771926,,no_defensible_existing_formation_match,,,0,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_11c82705d56cd4b2,commons_img_7b2aa79d06f65644,https://commons.wikimedia.org/wiki/File:Swiss_Crop_Circle_2009_Aerial_(3766687033).jpg,2009-07-27,day,Steckborn / Hörhausen,Thurgau,Switzerland,CH,47.646504,8.976892,cc_07d6c67ff4d4,place_and_year_candidate,place_and_year_candidate,,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_52001690c1aa4e70,commons_img_a3527af2c834edb7,"https://commons.wikimedia.org/wiki/File:Inside_a_crop_circle,_Alton_Barnes.jpg",2019-01-29,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.35859,-1.85411,,no_defensible_existing_formation_match,,,0,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_5b13ffdbd717cbb3,commons_img_ac9aa06ea7a62d70,https://commons.wikimedia.org/wiki/File:From_Deacon_Hill_-_geograph.org.uk_-_19696.jpg,2004-05-06,day,,,United Kingdom,GB,51.953,-0.36,,no_defensible_existing_formation_match,,,0,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_e3be78a42254ea44,commons_img_acedd0a59403fee4,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-08.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68403611,8.72366944,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.019,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_b8b873c55ed50c75,commons_img_b4304475d3d7a146,https://commons.wikimedia.org/wiki/File:Agroglyphe_de_Sarraltroff.jpg,2018-06-08,day,Sarraltroff,Moselle,France,FR,,,cc_4c02ba2e51ed,place_and_year_candidate,place_and_year_candidate,,1,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_082f76975a8c5c14,commons_img_b4d8b99472f17c22,https://commons.wikimedia.org/wiki/File:Kornkreis_Dietzenbach_Aerial_fg130.jpg,2008-08-29,day,Dietzenbach,Hesse,Germany,DE,,,,no_defensible_existing_formation_match,,,0,place_known_landmark_geolocation_required,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_c3bf19099b3ef4c7,commons_img_b561c4e202ba3f66,https://commons.wikimedia.org/wiki/File:Opera_di_Pistoletto.jpg,2020-12-05,day,Assago,Lombardy,Italy,IT,,,,no_defensible_existing_formation_match,,,0,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_1cf674e97aed52e9,commons_img_b7b5b0a0755148f0,https://commons.wikimedia.org/wiki/File:Farmland_below_the_Pewsey_Downs_-_geograph.org.uk_-_837120.jpg,2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3718,-1.846,cc_4f4202e2eb60,ambiguous_place_and_year_candidate,place_and_year_candidate,65.482,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_cc34751d4467a4c5,commons_img_b7b5b0a0755148f0,https://commons.wikimedia.org/wiki/File:Farmland_below_the_Pewsey_Downs_-_geograph.org.uk_-_837120.jpg,2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3718,-1.846,cc_7b5b4cc166f9,ambiguous_place_and_year_candidate,place_and_year_candidate,65.482,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_42356375f90fc0c1,commons_img_b7b5b0a0755148f0,https://commons.wikimedia.org/wiki/File:Farmland_below_the_Pewsey_Downs_-_geograph.org.uk_-_837120.jpg,2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3718,-1.846,cc_c17dfd94d450,ambiguous_place_and_year_candidate,place_and_year_candidate,65.482,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_84c19b56bf2ecc57,commons_img_b7b5b0a0755148f0,https://commons.wikimedia.org/wiki/File:Farmland_below_the_Pewsey_Downs_-_geograph.org.uk_-_837120.jpg,2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3718,-1.846,cc_f023de496be2,ambiguous_place_and_year_candidate,place_and_year_candidate,65.482,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_a0314c8fb96d0249,commons_img_b9371c47321feb44,https://commons.wikimedia.org/wiki/File:Crop_circle_near_West_Kennett_-_geograph.org.uk_-_424589.jpg,2004-02-19,day,West Kennett,Wiltshire,United Kingdom,GB,51.41762,-1.8427,cc_158605972d42,ambiguous_place_and_year_candidate,place_and_year_candidate,,5,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_bd93de5f235ce7e7,commons_img_b9371c47321feb44,https://commons.wikimedia.org/wiki/File:Crop_circle_near_West_Kennett_-_geograph.org.uk_-_424589.jpg,2004-02-19,day,West Kennett,Wiltshire,United Kingdom,GB,51.41762,-1.8427,cc_266a7cc1e917,ambiguous_place_and_year_candidate,place_and_year_candidate,,5,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_f4e74f390218eda5,commons_img_b9371c47321feb44,https://commons.wikimedia.org/wiki/File:Crop_circle_near_West_Kennett_-_geograph.org.uk_-_424589.jpg,2004-02-19,day,West Kennett,Wiltshire,United Kingdom,GB,51.41762,-1.8427,cc_31455024bbea,ambiguous_place_and_year_candidate,place_and_year_candidate,,5,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_0aa18d1743816be4,commons_img_b9371c47321feb44,https://commons.wikimedia.org/wiki/File:Crop_circle_near_West_Kennett_-_geograph.org.uk_-_424589.jpg,2004-02-19,day,West Kennett,Wiltshire,United Kingdom,GB,51.41762,-1.8427,cc_8a9d5be0fe9b,ambiguous_place_and_year_candidate,place_and_year_candidate,,5,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_c1a1d4bf9ebb4040,commons_img_b9371c47321feb44,https://commons.wikimedia.org/wiki/File:Crop_circle_near_West_Kennett_-_geograph.org.uk_-_424589.jpg,2004-02-19,day,West Kennett,Wiltshire,United Kingdom,GB,51.41762,-1.8427,cc_c842c2b89f56,ambiguous_place_and_year_candidate,place_and_year_candidate,,5,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_6205d6aa7df460fa,commons_img_c50349097c37912c,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-15.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68542778,8.72205833,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.100,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_5ef840997fc8074a,commons_img_c92c8820e1e86db3,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-46-33.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68965278,8.72058889,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.171,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_71dfe39f28cf2391,commons_img_d1836daa3c2c9451,https://commons.wikimedia.org/wiki/File:%E5%85%AB%E7%8E%8B%E5%AD%90%E3%81%AE%E3%83%9F%E3%82%B9%E3%83%86%E3%83%AA%E3%83%BC%E3%82%B5%E3%83%BC%E3%82%AF%E3%83%AB_(133230823).jpg,2006-04-22,day,,,Japan,JP,,,,no_defensible_existing_formation_match,,,0,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_afeca50974ec94ad,commons_img_d438b0a0c05fb9b1,https://commons.wikimedia.org/wiki/File:Swiss_crop_circle_detail.jpg,2009-07-25,day,Steckborn / Hörhausen,Thurgau,Switzerland,CH,47.646135,8.977482,cc_07d6c67ff4d4,place_and_year_candidate,place_and_year_candidate,,1,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_4a8ecba3b174cb8d,commons_img_dbe9b7d1835ed86d,https://commons.wikimedia.org/wiki/File:CropCircleW.jpg,2007,year,,,Switzerland,CH,,,,no_defensible_existing_formation_match,,,0,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_5eb2a4d644617bae,commons_img_e6d5f53ed9818dc5,"https://commons.wikimedia.org/wiki/File:Crop_circle_south_of_Avebury_henge,_Wiltshire_-_geograph.org.uk_-_31914.jpg",2005-07-27,day,Avebury,Wiltshire,United Kingdom,GB,51.42689,-1.8542,cc_571cf1e5d64b,exact_place_and_date,exact_place_and_date,1.428,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_1d54044a2cf44cd1,commons_img_ee1d20791e809665,"https://commons.wikimedia.org/wiki/File:Arable_fields_beneath_the_downs,_Alton_Barnes_-_geograph.org.uk_-_844699.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3709,-1.846,cc_4f4202e2eb60,ambiguous_place_and_year_candidate,place_and_year_candidate,65.445,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_23e6c8f81dc70a14,commons_img_ee1d20791e809665,"https://commons.wikimedia.org/wiki/File:Arable_fields_beneath_the_downs,_Alton_Barnes_-_geograph.org.uk_-_844699.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3709,-1.846,cc_7b5b4cc166f9,ambiguous_place_and_year_candidate,place_and_year_candidate,65.445,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_461197dffc665047,commons_img_ee1d20791e809665,"https://commons.wikimedia.org/wiki/File:Arable_fields_beneath_the_downs,_Alton_Barnes_-_geograph.org.uk_-_844699.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3709,-1.846,cc_c17dfd94d450,ambiguous_place_and_year_candidate,place_and_year_candidate,65.445,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_8d11241702de780e,commons_img_ee1d20791e809665,"https://commons.wikimedia.org/wiki/File:Arable_fields_beneath_the_downs,_Alton_Barnes_-_geograph.org.uk_-_844699.jpg",2008-06-07,day,Alton Barnes,Wiltshire,United Kingdom,GB,51.3709,-1.846,cc_f023de496be2,ambiguous_place_and_year_candidate,place_and_year_candidate,65.445,4,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_aa101d009de6d788,commons_img_ef8b5a93a8a0be9f,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-35.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.6882,8.72213056,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.057,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_4fdce88e6c6e815a,commons_img_f2e9a4270c7e6a04,https://commons.wikimedia.org/wiki/File:Crop_Circle_in_Berbah_Sleman_-_panoramio.jpg,2011,year,Sleman,Yogyakarta,Indonesia,ID,-7.817429,110.464241,cc_b682749f250a,place_and_year_candidate,place_and_year_candidate,,1,geotagged_scene_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_47bbb3b755a9940d,commons_img_f63aa40bd3a95181,"https://commons.wikimedia.org/wiki/File:3._%C5%99%C3%ADjen_2014,_Nizozemsko.jpg",2014-10-25,day,,,Netherlands,NL,,,,no_defensible_existing_formation_match,,,0,source_photo_only,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_34f7b5fd71825d46,commons_img_f77e3ebef9abf039,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-44-41.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68951111,8.72283056,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.003,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
commons_assertion_566d30c3d87e63f3,commons_img_fbcc84da2be5d83d,https://commons.wikimedia.org/wiki/File:Aerial_View_of_the_Crop_Circle_in_Diessenhofen_15.07.2008_16-46-23.JPG,2008-07-15,day,Diessenhofen,Thurgau,Switzerland,CH,47.68595556,8.72113333,cc_f3fedb85aeac,place_and_year_candidate,place_and_year_candidate,2.157,1,geotagged_aerial_landmark_candidate,Wikimedia Commons API metadata; remote original linked only; formation match is conservative and does not itself georegister the image.
